"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","285060","Flujo E2E Completo Atómico - PREFACTURAR VIAJE FINALIZADO","firefox-demo","Sat Mar 28 05:31:00 UTC 2026","passed","Sat Mar 28 05:35:45 UTC 2026","[E2E] Finanzas - Prefactura (Atómico)","","",""
"","19659","Debe crear un Transportista correctamente y guardar sus datos","chromium-qa","Sat Mar 28 04:50:43 UTC 2026","passed","Sat Mar 28 04:51:02 UTC 2026","[E01] Entidades - Crear Transportista","","",""
"","281951","Flujo E2E Completo Atómico - PREFACTURAR VIAJE FINALIZADO","chromium-demo","Sat Mar 28 05:26:13 UTC 2026","passed","Sat Mar 28 05:30:55 UTC 2026","[E2E] Finanzas - Prefactura (Atómico)","","",""
"","20946","Debe crear un Transportista correctamente y guardar sus datos","firefox-demo","Sat Mar 28 05:14:36 UTC 2026","passed","Sat Mar 28 05:14:57 UTC 2026","[E01] Entidades - Crear Transportista","","",""
"","21816","Debe crear un Cliente correctamente y guardar sus datos","firefox-demo","Sat Mar 28 05:14:13 UTC 2026","passed","Sat Mar 28 05:14:35 UTC 2026","[E02] Entidades - Crear Cliente","","",""
"","12184","Deberia crear un Vehiculo correctamente y asociarlo a un transportista","chromium-demo","Sat Mar 28 05:15:17 UTC 2026","passed","Sat Mar 28 05:15:29 UTC 2026","[E03] Entidades - Crear Vehículo","","",""
"","11539","Debe crear un Conductor correctamente y asociarlo a un transportista","firefox-qa","Sat Mar 28 04:57:26 UTC 2026","passed","Sat Mar 28 04:57:38 UTC 2026","[E04] Entidades - Crear Conductor","","",""
"","23310","Debe crear un Transportista correctamente y guardar sus datos","chromium-demo","Sat Mar 28 05:13:48 UTC 2026","passed","Sat Mar 28 05:14:11 UTC 2026","[E01] Entidades - Crear Transportista","","",""
"","43062","Debe planificar un nuevo Viaje usando entidades del JSON","firefox-demo","Sat Mar 28 05:22:48 UTC 2026","passed","Sat Mar 28 05:23:31 UTC 2026","[V01] Viajes - Planificar","","",""
"","1492","Debe asignar un viaje usando entidades del JSON","firefox-qa","Sat Mar 28 04:59:45 UTC 2026","failed","Sat Mar 28 04:59:46 UTC 2026","[V02] Viajes - Asignar","","",""
"","47879","Debe prefacturar un viaje finalizado usando datos del JSON","chromium-qa","Sat Mar 28 04:56:37 UTC 2026","failed","Sat Mar 28 04:57:25 UTC 2026","[V04] Finanzas - Prefacturar Viaje (Legacy)","","",""
"","12810","Deberia crear un Vehiculo correctamente y asociarlo a un transportista","firefox-qa","Sat Mar 28 04:57:39 UTC 2026","passed","Sat Mar 28 04:57:51 UTC 2026","[E03] Entidades - Crear Vehículo","","",""
"","27181","Debe crear un Cliente correctamente y guardar sus datos","chromium-qa","Sat Mar 28 04:50:15 UTC 2026","passed","Sat Mar 28 04:50:42 UTC 2026","[E02] Entidades - Crear Cliente","","",""
"","9924","Debe crear un Conductor correctamente y asociarlo a un transportista","chromium-demo","Sat Mar 28 05:15:07 UTC 2026","passed","Sat Mar 28 05:15:17 UTC 2026","[E04] Entidades - Crear Conductor","","",""
"","12310","Deberia crear un Vehiculo correctamente y asociarlo a un transportista","chromium-qa","Sat Mar 28 04:52:15 UTC 2026","passed","Sat Mar 28 04:52:28 UTC 2026","[E03] Entidades - Crear Vehículo","","",""
"","46293","Crear Contrato (Venta) usando seeded Cliente","firefox-qa","Sat Mar 28 04:58:41 UTC 2026","passed","Sat Mar 28 04:59:27 UTC 2026","[C02] Contratos - Tipo Venta","","",""
"","10043","Debe crear un Conductor correctamente y asociarlo a un transportista","chromium-qa","Sat Mar 28 04:52:05 UTC 2026","passed","Sat Mar 28 04:52:15 UTC 2026","[E04] Entidades - Crear Conductor","","",""
"","292741","Flujo E2E Completo Atómico - PREFACTURAR VIAJE FINALIZADO","firefox-qa","Sat Mar 28 05:08:14 UTC 2026","passed","Sat Mar 28 05:13:07 UTC 2026","[E2E] Finanzas - Prefactura (Atómico)","","",""
"","45045","Debe planificar un nuevo Viaje usando entidades del JSON","chromium-qa","Sat Mar 28 04:54:12 UTC 2026","passed","Sat Mar 28 04:54:57 UTC 2026","[V01] Viajes - Planificar","","",""
"","49101","Debe prefacturar un viaje finalizado usando datos del JSON","firefox-qa","Sat Mar 28 05:02:19 UTC 2026","failed","Sat Mar 28 05:03:08 UTC 2026","[V04] Finanzas - Prefacturar Viaje (Legacy)","","",""
"","11225","Debe crear un Conductor correctamente y asociarlo a un transportista","firefox-demo","Sat Mar 28 05:20:25 UTC 2026","passed","Sat Mar 28 05:20:36 UTC 2026","[E04] Entidades - Crear Conductor","","",""
"","3664","authenticate","Autorización","Sat Mar 28 05:26:08 UTC 2026","passed","Sat Mar 28 05:26:11 UTC 2026","","","",""
"","48512","Deberia crear un Contrato Tipo Costo correctamente y asociarlo a un transportista","chromium-demo","Sat Mar 28 05:15:30 UTC 2026","passed","Sat Mar 28 05:16:18 UTC 2026","[C01] Contratos - Tipo Costo","","",""
"","46516","Debe planificar un nuevo Viaje usando entidades del JSON","firefox-qa","Sat Mar 28 04:59:48 UTC 2026","passed","Sat Mar 28 05:00:35 UTC 2026","[V01] Viajes - Planificar","","",""
"","47995","Deberia crear un Contrato Tipo Costo correctamente y asociarlo a un transportista","firefox-qa","Sat Mar 28 04:57:52 UTC 2026","passed","Sat Mar 28 04:58:40 UTC 2026","[C01] Contratos - Tipo Costo","","",""
"","46296","Crear Contrato (Venta) usando seeded Cliente","chromium-qa","Sat Mar 28 04:53:15 UTC 2026","passed","Sat Mar 28 04:54:02 UTC 2026","[C02] Contratos - Tipo Venta","","",""
"","1430","Debe finalizar un viaje asignado usando datos del JSON","firefox-demo","Sat Mar 28 05:22:34 UTC 2026","failed","Sat Mar 28 05:22:35 UTC 2026","[V03] Viajes - Finalizar (Monitoreo)","","",""
"","303","Debe asignar un viaje usando entidades del JSON","chromium-qa","Sat Mar 28 04:54:10 UTC 2026","failed","Sat Mar 28 04:54:11 UTC 2026","[V02] Viajes - Asignar","","",""
"","45899","Crear Contrato (Venta) usando seeded Cliente","chromium-demo","Sat Mar 28 05:16:19 UTC 2026","passed","Sat Mar 28 05:17:05 UTC 2026","[C02] Contratos - Tipo Venta","","",""
"","46296","Crear Contrato (Venta) usando seeded Cliente","firefox-demo","Sat Mar 28 05:21:40 UTC 2026","passed","Sat Mar 28 05:22:27 UTC 2026","[C02] Contratos - Tipo Venta","","",""
"","289930","Flujo E2E Completo Atómico - PREFACTURAR VIAJE FINALIZADO","chromium-qa","Sat Mar 28 05:03:19 UTC 2026","passed","Sat Mar 28 05:08:09 UTC 2026","[E2E] Finanzas - Prefactura (Atómico)","","",""
"","1429","Debe finalizar un viaje asignado usando datos del JSON","firefox-qa","Sat Mar 28 04:59:34 UTC 2026","failed","Sat Mar 28 04:59:36 UTC 2026","[V03] Viajes - Finalizar (Monitoreo)","","",""
"","285","Debe finalizar un viaje asignado usando datos del JSON","chromium-demo","Sat Mar 28 05:17:09 UTC 2026","failed","Sat Mar 28 05:17:09 UTC 2026","[V03] Viajes - Finalizar (Monitoreo)","","",""
"","41229","Debe planificar un nuevo Viaje usando entidades del JSON","chromium-demo","Sat Mar 28 05:17:15 UTC 2026","passed","Sat Mar 28 05:17:56 UTC 2026","[V01] Viajes - Planificar","","",""
"","1424","Debe asignar un viaje usando entidades del JSON","firefox-demo","Sat Mar 28 05:22:44 UTC 2026","failed","Sat Mar 28 05:22:46 UTC 2026","[V02] Viajes - Asignar","","",""
"","291","Debe asignar un viaje usando entidades del JSON","chromium-demo","Sat Mar 28 05:17:13 UTC 2026","failed","Sat Mar 28 05:17:14 UTC 2026","[V02] Viajes - Asignar","","",""
"","48534","Debe prefacturar un viaje finalizado usando datos del JSON","firefox-demo","Sat Mar 28 05:25:14 UTC 2026","failed","Sat Mar 28 05:26:03 UTC 2026","[V04] Finanzas - Prefacturar Viaje (Legacy)","","",""
"","49199","Deberia crear un Contrato Tipo Costo correctamente y asociarlo a un transportista","firefox-demo","Sat Mar 28 05:20:50 UTC 2026","passed","Sat Mar 28 05:21:39 UTC 2026","[C01] Contratos - Tipo Costo","","",""
"","286","Debe finalizar un viaje asignado usando datos del JSON","chromium-qa","Sat Mar 28 04:54:06 UTC 2026","failed","Sat Mar 28 04:54:06 UTC 2026","[V03] Viajes - Finalizar (Monitoreo)","","",""
"","24429","Debe crear un Cliente correctamente y guardar sus datos","chromium-demo","Sat Mar 28 05:13:23 UTC 2026","passed","Sat Mar 28 05:13:47 UTC 2026","[E02] Entidades - Crear Cliente","","",""
"","47665","Debe prefacturar un viaje finalizado usando datos del JSON","chromium-demo","Sat Mar 28 05:19:36 UTC 2026","failed","Sat Mar 28 05:20:23 UTC 2026","[V04] Finanzas - Prefacturar Viaje (Legacy)","","",""
"","46855","Deberia crear un Contrato Tipo Costo correctamente y asociarlo a un transportista","chromium-qa","Sat Mar 28 04:52:28 UTC 2026","passed","Sat Mar 28 04:53:15 UTC 2026","[C01] Contratos - Tipo Costo","","",""
"","28874","Debe crear un Cliente correctamente y guardar sus datos","firefox-qa","Sat Mar 28 04:51:04 UTC 2026","passed","Sat Mar 28 04:51:33 UTC 2026","[E02] Entidades - Crear Cliente","","",""
"","20200","Debe crear un Transportista correctamente y guardar sus datos","firefox-qa","Sat Mar 28 04:51:34 UTC 2026","passed","Sat Mar 28 04:51:54 UTC 2026","[E01] Entidades - Crear Transportista","","",""
"","12603","Deberia crear un Vehiculo correctamente y asociarlo a un transportista","firefox-demo","Sat Mar 28 05:20:37 UTC 2026","passed","Sat Mar 28 05:20:50 UTC 2026","[E03] Entidades - Crear Vehículo","","",""
